cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_comercio
1;2003;2003m01;Rio de Janeiro;3304557;Capital;14
2;2003;2003m01;Rio de Janeiro;3304557;Capital;5
3;2003;2003m01;Rio de Janeiro;3304557;Capital;10
4;2003;2003m01;Rio de Janeiro;3304557;Capital;10
5;2003;2003m01;Rio de Janeiro;3304557;Capital;0
6;2003;2003m01;Rio de Janeiro;3304557;Capital;4
7;2003;2003m01;Rio de Janeiro;3304557;Capital;4
8;2003;2003m01;Rio de Janeiro;3304557;Capital;6
9;2003;2003m01;Rio de Janeiro;3304557;Capital;6
10;2003;2003m01;Rio de Janeiro;3304557;Capital;12
11;2003;2003m01;Rio de Janeiro;3304557;Capital;3
12;2003;2003m01;Rio de Janeiro;3304557;Capital;12
13;2003;2003m01;Rio de Janeiro;3304557;Capital;7
14;2003;2003m01;Rio de Janeiro;3304557;Capital;5
15;2003;2003m01;Rio de Janeiro;3304557;Capital;10
16;2003;2003m01;Rio de Janeiro;3304557;Capital;7
17;2003;2003m01;Rio de Janeiro;3304557;Capital;15
18;2003;2003m01;Rio de Janeiro;3304557;Capital;21
19;2003;2003m01;Rio de Janeiro;3304557;Capital;13
20;2003;2003m01;Rio de Janeiro;3304557;Capital;6
21;2003;2003m01;Rio de Janeiro;3304557;Capital;3
22;2003;2003m01;Rio de Janeiro;3304557;Capital;0
23;2003;2003m01;Rio de Janeiro;3304557;Capital;13
24;2003;2003m01;Rio de Janeiro;3304557;Capital;9
25;2003;2003m01;Rio de Janeiro;3304557;Capital;11
26;2003;2003m01;Rio de Janeiro;3304557;Capital;8
27;2003;2003m01;Rio de Janeiro;3304557;Capital;0
28;2003;2003m01;Rio de Janeiro;3304557;Capital;10
29;2003;2003m01;Rio de Janeiro;3304557;Capital;6
30;2003;2003m01;Rio de Janeiro;3304557;Capital;14
31;2003;2003m01;Rio de Janeiro;3304557;Capital;16
32;2003;2003m01;Rio de Janeiro;3304557;Capital;9
33;2003;2003m01;Rio de Janeiro;3304557;Capital;11
34;2003;2003m01;Rio de Janeiro;3304557;Capital;13
35;2003;2003m01;Rio de Janeiro;3304557;Capital;17
36;2003;2003m01;Rio de Janeiro;3304557;Capital;8
37;2003;2003m01;Rio de Janeiro;3304557;Capital;6
38;2003;2003m01;Rio de Janeiro;3304557;Capital;9
39;2003;2003m01;Seropédica;3305554;Baixada Fluminense;1
40;2003;2003m01;Itaguaí;3302007;Baixada Fluminense;3
41;2003;2003m01;Paracambi;3303609;Baixada Fluminense;0
42;2003;2003m01;Nova Iguaçu;3303500;Baixada Fluminense;9
43;2003;2003m01;Mesquita;3302858;Baixada Fluminense;4
44;2003;2003m01;Belford Roxo;3300456;Baixada Fluminense;8
45;2003;2003m01;"Queimados;Japeri";9999981;Baixada Fluminense;2
46;2003;2003m01;Nova Iguaçu;3303500;Baixada Fluminense;7
47;2003;2003m01;Nilópolis;3303203;Baixada Fluminense;4
48;2003;2003m01;Nova Iguaçu;3303500;Baixada Fluminense;4
49;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;19
50;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;6
51;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;2
52;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;1
53;2003;2003m01;São João de Meriti;3305109;Baixada Fluminense;16
54;2003;2003m01;"Magé;Guapimirim";9999982;Baixada Fluminense;1
55;2003;2003m01;Magé;3302502;Baixada Fluminense;0
56;2003;2003m01;"Itaboraí;Tanguá";9999983;Interior;10
57;2003;2003m01;São Gonçalo;3304904;Grande Niterói;10
58;2003;2003m01;São Gonçalo;3304904;Grande Niterói;5
59;2003;2003m01;São Gonçalo;3304904;Grande Niterói;5
60;2003;2003m01;São Gonçalo;3304904;Grande Niterói;1
61;2003;2003m01;Niterói;3303302;Grande Niterói;16
62;2003;2003m01;Niterói;3303302;Grande Niterói;14
63;2003;2003m01;Niterói;3303302;Grande Niterói;7
64;2003;2003m01;Niterói;3303302;Grande Niterói;2
65;2003;2003m01;Niterói;3303302;Grande Niterói;2
66;2003;2003m01;Maricá;3302700;Grande Niterói;2
