cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_rua
1;2003;2003m01;Rio de Janeiro;3304557;Capital;66
2;2003;2003m01;Rio de Janeiro;3304557;Capital;51
3;2003;2003m01;Rio de Janeiro;3304557;Capital;64
4;2003;2003m01;Rio de Janeiro;3304557;Capital;56
5;2003;2003m01;Rio de Janeiro;3304557;Capital;5
6;2003;2003m01;Rio de Janeiro;3304557;Capital;44
7;2003;2003m01;Rio de Janeiro;3304557;Capital;53
8;2003;2003m01;Rio de Janeiro;3304557;Capital;47
9;2003;2003m01;Rio de Janeiro;3304557;Capital;34
10;2003;2003m01;Rio de Janeiro;3304557;Capital;42
11;2003;2003m01;Rio de Janeiro;3304557;Capital;20
12;2003;2003m01;Rio de Janeiro;3304557;Capital;48
13;2003;2003m01;Rio de Janeiro;3304557;Capital;64
14;2003;2003m01;Rio de Janeiro;3304557;Capital;71
15;2003;2003m01;Rio de Janeiro;3304557;Capital;51
16;2003;2003m01;Rio de Janeiro;3304557;Capital;42
17;2003;2003m01;Rio de Janeiro;3304557;Capital;123
18;2003;2003m01;Rio de Janeiro;3304557;Capital;58
19;2003;2003m01;Rio de Janeiro;3304557;Capital;77
20;2003;2003m01;Rio de Janeiro;3304557;Capital;46
21;2003;2003m01;Rio de Janeiro;3304557;Capital;44
22;2003;2003m01;Rio de Janeiro;3304557;Capital;0
23;2003;2003m01;Rio de Janeiro;3304557;Capital;52
24;2003;2003m01;Rio de Janeiro;3304557;Capital;49
25;2003;2003m01;Rio de Janeiro;3304557;Capital;89
26;2003;2003m01;Rio de Janeiro;3304557;Capital;67
27;2003;2003m01;Rio de Janeiro;3304557;Capital;1
28;2003;2003m01;Rio de Janeiro;3304557;Capital;53
29;2003;2003m01;Rio de Janeiro;3304557;Capital;56
30;2003;2003m01;Rio de Janeiro;3304557;Capital;77
31;2003;2003m01;Rio de Janeiro;3304557;Capital;105
32;2003;2003m01;Rio de Janeiro;3304557;Capital;34
33;2003;2003m01;Rio de Janeiro;3304557;Capital;48
34;2003;2003m01;Rio de Janeiro;3304557;Capital;22
35;2003;2003m01;Rio de Janeiro;3304557;Capital;79
36;2003;2003m01;Rio de Janeiro;3304557;Capital;35
37;2003;2003m01;Rio de Janeiro;3304557;Capital;26
38;2003;2003m01;Rio de Janeiro;3304557;Capital;39
39;2003;2003m01;Seropédica;3305554;Baixada Fluminense;2
40;2003;2003m01;Itaguaí;3302007;Baixada Fluminense;11
41;2003;2003m01;Paracambi;3303609;Baixada Fluminense;0
42;2003;2003m01;Nova Iguaçu;3303500;Baixada Fluminense;50
43;2003;2003m01;Mesquita;3302858;Baixada Fluminense;17
44;2003;2003m01;Belford Roxo;3300456;Baixada Fluminense;17
45;2003;2003m01;"Queimados;Japeri";9999981;Baixada Fluminense;13
46;2003;2003m01;Nova Iguaçu;3303500;Baixada Fluminense;13
47;2003;2003m01;Nilópolis;3303203;Baixada Fluminense;29
48;2003;2003m01;Nova Iguaçu;3303500;Baixada Fluminense;17
49;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;134
50;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;34
51;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;4
52;2003;2003m01;Duque de Caxias;3301702;Baixada Fluminense;18
53;2003;2003m01;São João de Meriti;3305109;Baixada Fluminense;51
54;2003;2003m01;"Magé;Guapimirim";9999982;Baixada Fluminense;5
55;2003;2003m01;Magé;3302502;Baixada Fluminense;12
56;2003;2003m01;"Itaboraí;Tanguá";9999983;Interior;41
57;2003;2003m01;São Gonçalo;3304904;Grande Niterói;50
58;2003;2003m01;São Gonçalo;3304904;Grande Niterói;25
59;2003;2003m01;São Gonçalo;3304904;Grande Niterói;69
60;2003;2003m01;São Gonçalo;3304904;Grande Niterói;16
61;2003;2003m01;Niterói;3303302;Grande Niterói;85
62;2003;2003m01;Niterói;3303302;Grande Niterói;43
63;2003;2003m01;Niterói;3303302;Grande Niterói;55
64;2003;2003m01;Niterói;3303302;Grande Niterói;3
65;2003;2003m01;Niterói;3303302;Grande Niterói;13
66;2003;2003m01;Maricá;3302700;Grande Niterói;4
67;2003;2003m01;Barra do Pirai;3300308;Interior;1
68;2003;2003m01;Resende;3304201;Interior;13
69;2003;2003m01;Barra Mansa;3300407;Interior;11
70;2003;2003m01;Valença;3306107;Interior;2
71;2003;2003m01;Rio das Flores;3304508;Interior;0
72;2003;2003m01;Volta Redonda;3306305;Interior;21
73;2003;2003m01;"Piraí;Pinheiral";9999988;Interior;1
74;2003;2003m01;Vassouras;3306206;Interior;1
75;2003;2003m01;"Miguel Pereira;Paty dos Alferes";9999999;Interior;0
76;2003;2003m01;Mendes;3302809;Interior;1
77;2003;2003m01;Engenheiro Paulo de Frontin;3301801;Interior;0
78;2003;2003m01;Itatiaia;3302254;Interior;3
79;2003;2003m01;"Porto Real;Quatis";9999992;Interior;3
80;2003;2003m01;São José do Vale do Rio Preto;3305158;Interior;0
81;2003;2003m01;Petrópolis;3303906;Interior;12
82;2003;2003m01;Petrópolis;3303906;Interior;2
83;2003;2003m01;Paraíba do Sul;3303708;Interior;0
84;2003;2003m01;"Comendador Levy Gasparian;Areal;Três Rios";9999991;Interior;2
85;2003;2003m01;Sapucaia;3305406;Interior;0
86;2003;2003m01;Teresópolis;3305802;Interior;6
87;2003;2003m01;Sumidouro;3305703;Interior;2
88;2003;2003m01;Carmo;3301207;Interior;0
