cod_ocorrencia	roubo_comercio
1	14
2	5
3	10
4	10
5	0
6	4
7	4
8	6
9	6
10	12
11	3
12	12
13	7
14	5
15	10
16	7
17	15
18	21
19	13
20	6
21	3
22	0
23	13
24	9
25	11
26	8
27	0
28	10
29	6
30	14
31	16
32	9
33	11
34	13
35	17
36	8
37	6
38	9
39	1
40	3
41	0
42	9
43	4
44	8
45	2
46	7
47	4
48	4
49	19
50	6
51	2
52	1
53	16
54	1
55	0
56	10
57	10
58	5
59	5
60	1
61	16
62	14
63	7
64	2
65	2
66	2
67	0
68	15
69	7
70	0
71	0
72	9
73	0
74	1
75	0
76	0
77	0
78	3
79	0
80	0
81	6
82	1
83	1
84	5
85	1
86	1
87	0
88	0
89	1
90	0
91	0
92	0
93	0
94	4
95	1
96	2
97	4
98	3
99	2
100	1
101	11
102	0
103	1
104	0
105	0
106	0
107	0
108	0
109	0
110	1
111	0
112	0
113	6
114	2
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	1
124	4
125	1
126	0
127	19
128	6
129	8
130	6
131	2
132	8
133	15
134	6
135	10
136	6
137	0
138	16
139	9
140	7
141	14
142	12
143	19
144	20
145	17
146	14
147	10
148	0
149	16
150	12
151	23
152	6
153	0
154	21
155	4
156	13
157	25
158	10
159	6
160	15
161	7
162	10
163	15
164	7
165	4
166	1
167	0
168	11
169	4
170	5
171	6
172	5
173	11
174	3
175	25
176	8
177	0
178	6
179	10
180	6
181	3
182	11
183	10
184	13
185	9
186	2
187	21
188	10
189	8
190	6
191	2
192	2
193	1
194	4
195	14
196	0
197	0
198	14
199	0
200	0
201	0
202	0
203	0
204	1
205	3
206	0
207	3
208	0
209	0
210	5
211	0
212	3
213	0
214	0
215	1
216	3
217	1
218	0
219	0
220	4
221	1
222	2
223	7
224	2
225	1
226	0
227	18
228	0
229	1
230	0
231	0
232	0
233	0
234	1
235	0
236	1
237	0
238	0
239	5
240	3
241	0
242	0
243	0
244	0
245	0
246	0
247	1
248	0
249	0
250	3
251	1
252	0
253	12
254	3
255	15
256	5
257	1
258	7
259	5
260	7
261	8
262	5
263	2
264	12
265	4
266	5
267	20
268	4
269	7
270	14
271	27
272	7
273	7
274	0
275	14
276	7
277	16
278	6
279	1
280	13
281	6
282	10
283	14
284	12
285	6
286	14
287	11
288	7
289	12
290	8
291	1
292	2
293	0
294	5
295	2
296	5
297	1
298	6
299	9
300	10
301	19
302	8
303	3
304	7
305	14
306	2
307	0
308	5
309	14
310	3
311	6
312	2
313	27
314	14
315	11
316	2
317	4
318	5
319	1
320	11
321	12
322	0
323	0
324	18
325	0
326	0
327	1
328	0
329	0
330	0
331	1
332	0
333	4
334	2
335	0
336	3
337	0
338	1
339	0
340	0
341	4
342	1
343	2
344	1
345	1
346	4
347	1
348	4
349	9
350	1
351	2
352	1
353	15
354	0
355	2
356	0
357	0
358	0
359	0
360	1
361	0
362	1
363	0
364	1
365	5
366	1
367	1
368	1
369	0
370	0
371	0
372	0
373	0
374	1
375	0
376	3
377	2
378	0
379	21
380	3
381	16
382	4
383	2
384	4
385	8
386	5
387	7
388	13
389	1
390	20
391	5
392	4
393	10
394	8
395	17
396	13
397	21
398	12
399	5
400	0
401	16
402	10
403	15
404	15
405	1
406	5
407	5
408	14
409	19
410	7
411	11
412	9
413	12
414	9
415	14
416	0
417	6
418	2
419	4
420	0
421	15
422	10
423	4
424	1
425	6
426	18
427	4
428	32
429	12
430	0
431	6
432	7
433	3
434	2
435	4
436	8
437	2
438	5
439	4
440	28
441	12
442	11
443	2
444	7
445	4
446	2
447	9
448	7
449	1
450	0
451	22
452	1
453	1
454	0
455	0
456	0
457	3
458	0
459	0
460	5
461	2
462	2
463	5
464	1
465	4
466	0
467	0
468	0
469	3
470	1
471	1
472	2
473	6
474	0
475	2
476	10
477	2
478	1
479	0
480	11
481	0
482	0
483	0
484	0
485	0
486	0
487	1
488	0
489	1
490	0
491	0
492	9
493	3
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	1
503	1
504	2
505	0
506	15
507	4
508	13
509	14
510	1
511	9
512	7
513	4
514	0
515	17
516	3
517	26
518	5
519	8
520	12
521	9
522	9
523	14
524	19
525	5
526	10
527	0
528	11
529	6
530	18
531	11
532	0
533	14
534	12
535	12
536	16
537	13
538	14
539	11
540	11
541	6
542	17
543	0
544	13
545	1
546	5
547	0
548	14
549	5
550	3
551	1
552	8
553	9
554	4
555	25
556	6
557	1
558	3
559	14
560	2
561	1
